cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2020,Senate,_lite,9/10/20,.657825,.342175,51.25362,48.74638,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.090523,7.979931,-3.836212,40000,15:25:59 15 Sep 2020
2020,Senate,_lite,9/9/20,.682125,.317875,51.50198,48.49802,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.46645,8.321188,-3.357805,40000,15:44:02 15 Sep 2020
2020,Senate,_lite,9/8/20,.671325,.328675,51.44435,48.55565,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.421329,8.336956,-3.44965,40000,15:44:12 15 Sep 2020
2020,Senate,_lite,9/7/20,.67145,.32855,51.4299,48.5701,51,49,56,53,47,44,7.91e+07,8.68e+07,7.16e+07,2.331551,8.264624,-3.574673,40000,15:44:31 15 Sep 2020
2020,Senate,_lite,9/6/20,.67215,.32785,51.45068,48.54932,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.205936,8.095556,-3.715761,40000,15:43:56 15 Sep 2020
2020,Senate,_lite,9/5/20,.676,.324,51.4927,48.50727,51,49,56,53,47,44,7.91e+07,8.68e+07,7.15e+07,2.245369,8.19603,-3.682276,40000,15:44:00 15 Sep 2020
2020,Senate,_lite,9/4/20,.67285,.32715,51.4719,48.5281,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.269539,8.154371,-3.645107,40000,16:01:19 15 Sep 2020
2020,Senate,_lite,9/3/20,.668025,.331975,51.42812,48.57188,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.22876,8.094023,-3.777468,40000,16:01:11 15 Sep 2020
2020,Senate,_lite,9/2/20,.659,.341,51.3893,48.6107,51,49,56,53,47,44,7.91e+07,8.65e+07,7.16e+07,2.125805,8.088913,-3.853355,40000,16:01:50 15 Sep 2020
2020,Senate,_lite,9/1/20,.67825,.32175,51.52113,48.47887,51,49,56,53,47,44,7.91e+07,8.66e+07,7.15e+07,2.630527,8.53208,-3.38316,40000,16:00:54 15 Sep 2020
2020,Senate,_lite,8/31/20,.663475,.336525,51.4294,48.5706,51,49,56,53,47,44,7.91e+07,8.68e+07,7.16e+07,2.215073,8.202818,-3.744831,40000,16:01:19 15 Sep 2020
2020,Senate,_lite,8/30/20,.686125,.313875,51.63515,48.36485,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.567085,8.433348,-3.36031,40000,16:18:42 15 Sep 2020
2020,Senate,_lite,8/29/20,.688425,.311575,51.65958,48.34042,52,48,56,53,47,44,7.91e+07,8.67e+07,7.17e+07,2.659042,8.655548,-3.386574,40000,16:18:56 15 Sep 2020
2020,Senate,_lite,8/28/20,.6869,.3131,51.62347,48.37653,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.566959,8.503733,-3.440933,40000,16:18:38 15 Sep 2020
2020,Senate,_lite,8/27/20,.675125,.324875,51.54175,48.45825,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.514488,8.526955,-3.512012,40000,16:18:02 15 Sep 2020
2020,Senate,_lite,8/26/20,.67385,.32615,51.53708,48.4629,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.518326,8.509453,-3.522644,40000,16:18:45 15 Sep 2020
2020,Senate,_lite,8/25/20,.6695,.3305,51.47773,48.52227,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.426105,8.423151,-3.594522,40000,16:35:54 15 Sep 2020
2020,Senate,_lite,8/24/20,.6747,.3253,51.51165,48.48835,51,49,56,53,47,44,7.91e+07,8.68e+07,7.16e+07,2.389927,8.359346,-3.600224,40000,16:36:13 15 Sep 2020
2020,Senate,_lite,8/23/20,.6661,.3339,51.41915,48.58085,51,49,56,53,47,44,7.91e+07,8.68e+07,7.16e+07,2.342949,8.309399,-3.700117,40000,16:35:49 15 Sep 2020
2020,Senate,_lite,8/22/20,.67255,.32745,51.46732,48.53268,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.487663,8.492029,-3.566679,40000,16:35:04 15 Sep 2020
2020,Senate,_lite,8/21/20,.6742,.3258,51.51505,48.48495,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.770847,8.816652,-3.312,40000,16:35:58 15 Sep 2020
2020,Senate,_lite,8/20/20,.6767,.3233,51.53855,48.4614,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.842781,8.908564,-3.26613,40000,16:53:13 15 Sep 2020
2020,Senate,_lite,8/19/20,.676975,.323025,51.5298,48.4702,51,49,56,53,47,44,7.91e+07,8.68e+07,7.15e+07,2.830357,8.89802,-3.265438,40000,16:53:16 15 Sep 2020
2020,Senate,_lite,8/18/20,.686975,.313025,51.61013,48.38987,51,49,56,53,47,44,7.91e+07,8.68e+07,7.17e+07,2.877583,9.025362,-3.19548,40000,16:52:39 15 Sep 2020
2020,Senate,_lite,8/17/20,.6806,.3194,51.57998,48.42002,51,49,56,53,47,44,7.91e+07,8.66e+07,7.16e+07,2.951401,9.031599,-3.202196,40000,16:51:32 15 Sep 2020
2020,Senate,_lite,8/16/20,.680475,.319525,51.56052,48.43948,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.925213,8.976254,-3.254387,40000,16:53:12 15 Sep 2020
2020,Senate,_lite,8/15/20,.683325,.316675,51.58825,48.41175,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.931568,8.998896,-3.19348,40000,17:10:19 15 Sep 2020
2020,Senate,_lite,8/14/20,.680775,.319225,51.55893,48.44105,51,49,56,53,47,44,7.91e+07,8.67e+07,7.16e+07,2.862179,9.011276,-3.291031,40000,17:10:21 15 Sep 2020
2020,Senate,_lite,8/13/20,.68035,.31965,51.56462,48.43538,51,49,56,53,47,44,7.91e+07,8.66e+07,7.15e+07,2.853058,9.021154,-3.300283,40000,17:09:41 15 Sep 2020
2020,Senate,_lite,8/12/20,.678575,.321425,51.55245,48.44753,51,49,56,53,47,44,7.91e+07,8.67e+07,7.15e+07,2.886662,9.027918,-3.232578,40000,17:08:35 15 Sep 2020
2020,Senate,_lite,8/11/20,.686225,.313775,51.6246,48.37537,51,49,56,53,47,44,7.82e+07,8.59e+07,7.07e+07,3.005959,9.121029,-3.109327,40000,17:10:06 15 Sep 2020
2020,Senate,_lite,8/10/20,.686575,.313425,51.64478,48.35522,52,48,56,53,47,44,7.82e+07,8.59e+07,7.07e+07,3.100529,9.221832,-3.08642,40000,17:27:08 15 Sep 2020
2020,Senate,_lite,8/9/20,.699325,.300675,51.7601,48.2399,52,48,56,52,48,44,7.82e+07,8.59e+07,7.07e+07,3.347748,9.52306,-2.774664,40000,17:27:45 15 Sep 2020
2020,Senate,_lite,8/8/20,.6987,.3013,51.69337,48.30663,52,48,56,52,48,44,7.82e+07,8.58e+07,7.07e+07,3.381512,9.515575,-2.762623,40000,17:26:51 15 Sep 2020
2020,Senate,_lite,8/7/20,.6983,.3017,51.667,48.333,52,48,56,52,48,44,7.82e+07,8.58e+07,7.08e+07,3.345337,9.520222,-2.862015,40000,17:25:45 15 Sep 2020
2020,Senate,_lite,8/6/20,.69415,.30585,51.6622,48.3378,52,48,56,52,48,44,7.82e+07,8.59e+07,7.07e+07,3.352833,9.485964,-2.94544,40000,17:27:19 15 Sep 2020
2020,Senate,_lite,8/5/20,.6913,.3087,51.58535,48.41465,51,49,56,53,47,44,7.82e+07,8.58e+07,7.08e+07,3.387123,9.522394,-2.812239,40000,17:44:10 15 Sep 2020
2020,Senate,_lite,8/4/20,.6908,.3092,51.58678,48.41322,51,49,56,52,48,44,7.82e+07,8.60e+07,7.08e+07,3.408089,9.562071,-2.773251,40000,17:45:04 15 Sep 2020
2020,Senate,_lite,8/3/20,.6914,.3086,51.6057,48.3943,51,49,56,52,48,44,7.82e+07,8.58e+07,7.07e+07,3.386108,9.50741,-2.845848,40000,17:44:35 15 Sep 2020
2020,Senate,_lite,8/2/20,.692675,.307325,51.5754,48.4246,51,49,56,52,48,44,7.82e+07,8.59e+07,7.07e+07,3.29007,9.489149,-2.95295,40000,17:43:27 15 Sep 2020
2020,Senate,_lite,8/1/20,.7006,.2994,51.70203,48.29797,52,48,56,52,48,44,7.82e+07,8.58e+07,7.07e+07,3.225567,9.424616,-3.131598,40000,17:44:31 15 Sep 2020
2020,Senate,_deluxe,9/20/20,.59465,.40535,50.53952,49.46048,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.394768,6.877531,-4.128069,40000,10:57:05 20 Sep 2020
2020,Senate,_deluxe,9/19/20,.586375,.413625,50.45475,49.54525,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.175728,6.621927,-4.265848,40000,20:08:47 19 Sep 2020
2020,Senate,_deluxe,9/18/20,.5809,.4191,50.4434,49.5566,50,50,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.196354,6.686373,-4.258152,40000,21:19:43 18 Sep 2020
2020,Senate,_deluxe,9/17/20,.579775,.420225,50.45388,49.54612,50,50,54,53,47,46,7.91e+07,8.67e+07,7.17e+07,1.314743,6.779209,-4.162464,40000,20:53:56 17 Sep 2020
2020,Senate,_deluxe,9/16/20,.58105,.41895,50.45607,49.54393,50,50,54,53,47,46,7.91e+07,8.66e+07,7.16e+07,1.366631,6.812756,-4.146671,40000,15:05:00 16 Sep 2020
2020,Senate,_deluxe,9/15/20,.5789,.4211,50.43945,49.56055,50,50,54,53,47,46,7.91e+07,8.68e+07,7.17e+07,1.534534,7.046968,-3.961588,40000,13:33:07 15 Sep 2020
2020,Senate,_deluxe,9/14/20,.579,.421,50.44862,49.55135,50,50,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,1.566124,7.088425,-4.016979,40000,15:25:49 15 Sep 2020
2020,Senate,_deluxe,9/13/20,.576025,.423975,50.4222,49.5778,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.593948,7.088772,-4.009102,40000,15:26:16 15 Sep 2020
2020,Senate,_deluxe,9/12/20,.57815,.42185,50.4635,49.5365,50,50,54,53,47,46,7.91e+07,8.66e+07,7.16e+07,1.627129,7.18746,-3.950262,40000,15:26:08 15 Sep 2020
2020,Senate,_deluxe,9/11/20,.566475,.433525,50.38562,49.61438,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.555355,7.087814,-4.057898,40000,15:26:18 15 Sep 2020
2020,Senate,_deluxe,9/10/20,.569675,.430325,50.4148,49.5852,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.62738,7.183983,-3.977089,40000,15:25:59 15 Sep 2020
2020,Senate,_deluxe,9/9/20,.607375,.392625,50.67985,49.32015,51,49,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.959156,7.538258,-3.586729,40000,15:44:02 15 Sep 2020
2020,Senate,_deluxe,9/8/20,.6024,.3976,50.66438,49.33562,51,49,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.941944,7.542934,-3.619221,40000,15:44:12 15 Sep 2020
2020,Senate,_deluxe,9/7/20,.602175,.397825,50.67178,49.32822,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,1.975136,7.592756,-3.627741,40000,15:44:31 15 Sep 2020
2020,Senate,_deluxe,9/6/20,.601225,.398775,50.6708,49.3292,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.955601,7.548157,-3.650988,40000,15:43:56 15 Sep 2020
2020,Senate,_deluxe,9/5/20,.60625,.39375,50.71297,49.28703,51,49,54,53,47,46,7.91e+07,8.68e+07,7.15e+07,2.004616,7.63339,-3.633204,40000,15:44:00 15 Sep 2020
2020,Senate,_deluxe,9/4/20,.602425,.39755,50.6915,49.30848,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.02692,7.596979,-3.573818,40000,16:01:19 15 Sep 2020
2020,Senate,_deluxe,9/3/20,.59875,.40125,50.68013,49.31987,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.022461,7.598093,-3.68355,40000,16:01:11 15 Sep 2020
2020,Senate,_deluxe,9/2/20,.602,.398,50.68723,49.31277,51,49,54,53,47,46,7.91e+07,8.65e+07,7.16e+07,2.009487,7.670397,-3.640902,40000,16:01:50 15 Sep 2020
2020,Senate,_deluxe,9/1/20,.60455,.39545,50.72332,49.27668,51,49,54,53,47,46,7.91e+07,8.66e+07,7.15e+07,2.121819,7.717239,-3.579273,40000,16:00:54 15 Sep 2020
2020,Senate,_deluxe,8/31/20,.59785,.40215,50.69055,49.30945,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,2.026016,7.714005,-3.625425,40000,16:01:19 15 Sep 2020
2020,Senate,_deluxe,8/30/20,.623325,.376675,50.86163,49.13837,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.374165,7.937784,-3.280746,40000,16:18:42 15 Sep 2020
2020,Senate,_deluxe,8/29/20,.62835,.37165,50.8848,49.1152,51,49,55,53,47,45,7.91e+07,8.67e+07,7.17e+07,2.43618,8.129072,-3.306482,40000,16:18:56 15 Sep 2020
2020,Senate,_deluxe,8/28/20,.61975,.38025,50.84075,49.15925,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.373959,8.006062,-3.308146,40000,16:18:38 15 Sep 2020
2020,Senate,_deluxe,8/27/20,.615475,.384525,50.8151,49.1849,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.328201,8.071695,-3.395067,40000,16:18:02 15 Sep 2020
2020,Senate,_deluxe,8/26/20,.616125,.383875,50.80767,49.1923,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.334206,7.998959,-3.387796,40000,16:18:45 15 Sep 2020
2020,Senate,_deluxe,8/25/20,.612275,.387725,50.78003,49.21997,51,49,54.5,53,47,45.5,7.91e+07,8.67e+07,7.15e+07,2.273098,7.963966,-3.421038,40000,16:35:54 15 Sep 2020
2020,Senate,_deluxe,8/24/20,.61995,.38005,50.8214,49.1786,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,2.259819,7.952581,-3.419355,40000,16:36:13 15 Sep 2020
2020,Senate,_deluxe,8/23/20,.608225,.391775,50.74405,49.25595,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,2.204723,7.844793,-3.572065,40000,16:35:49 15 Sep 2020
2020,Senate,_deluxe,8/22/20,.613425,.386575,50.7649,49.2351,51,49,54.5,53,47,45.5,7.91e+07,8.67e+07,7.16e+07,2.236557,7.942118,-3.509378,40000,16:35:04 15 Sep 2020
2020,Senate,_deluxe,8/21/20,.61595,.38405,50.77977,49.22023,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.300499,8.025209,-3.453119,40000,16:35:58 15 Sep 2020
2020,Senate,_deluxe,8/20/20,.615175,.384825,50.78925,49.21075,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.358398,8.117973,-3.435448,40000,16:53:13 15 Sep 2020
2020,Senate,_deluxe,8/19/20,.6165,.3835,50.79433,49.20567,51,49,55,53,47,45,7.91e+07,8.68e+07,7.15e+07,2.344395,8.107809,-3.468662,40000,16:53:16 15 Sep 2020
2020,Senate,_deluxe,8/18/20,.625025,.374975,50.84457,49.15543,51,49,55,53,47,45,7.91e+07,8.68e+07,7.17e+07,2.355598,8.157019,-3.430838,40000,16:52:39 15 Sep 2020
2020,Senate,_deluxe,8/17/20,.620275,.379725,50.83665,49.16335,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,2.401237,8.172903,-3.409449,40000,16:51:32 15 Sep 2020
2020,Senate,_deluxe,8/16/20,.619375,.380625,50.80345,49.19655,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.348885,8.102806,-3.517538,40000,16:53:12 15 Sep 2020
2020,Senate,_deluxe,8/15/20,.621675,.378325,50.83215,49.16785,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.365932,8.125683,-3.426662,40000,17:10:19 15 Sep 2020
2020,Senate,_deluxe,8/14/20,.618475,.381525,50.8158,49.1842,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.328716,8.15254,-3.500912,40000,17:10:21 15 Sep 2020
2020,Senate,_deluxe,8/13/20,.623425,.376575,50.8638,49.1362,51,49,55,53,47,45,7.91e+07,8.66e+07,7.15e+07,2.375286,8.193369,-3.434814,40000,17:09:41 15 Sep 2020
2020,Senate,_deluxe,8/12/20,.625475,.374525,50.8573,49.1427,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.386211,8.219704,-3.425402,40000,17:08:35 15 Sep 2020
2020,Senate,_deluxe,8/11/20,.63115,.36885,50.91245,49.08755,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.512409,8.355715,-3.307793,40000,17:10:06 15 Sep 2020
2020,Senate,_deluxe,8/10/20,.6345,.3655,50.9563,49.0437,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.598598,8.467239,-3.282997,40000,17:27:08 15 Sep 2020
2020,Senate,_deluxe,8/9/20,.637525,.362475,50.98207,49.01793,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.634544,8.516914,-3.188482,40000,17:27:45 15 Sep 2020
2020,Senate,_deluxe,8/8/20,.633775,.366225,50.92823,49.07177,51,49,55,53,47,45,7.82e+07,8.58e+07,7.07e+07,2.599392,8.429995,-3.219648,40000,17:26:51 15 Sep 2020
2020,Senate,_deluxe,8/7/20,.6334,.3666,50.91518,49.08482,51,49,55,53,47,45,7.82e+07,8.58e+07,7.08e+07,2.606941,8.521078,-3.254423,40000,17:25:45 15 Sep 2020
2020,Senate,_deluxe,8/6/20,.636375,.363625,50.95725,49.04275,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.70245,8.543621,-3.299587,40000,17:27:19 15 Sep 2020
2020,Senate,_deluxe,8/5/20,.63275,.36725,50.91042,49.08958,51,49,55,53,47,45,7.82e+07,8.58e+07,7.08e+07,2.71978,8.55588,-3.177225,40000,17:44:10 15 Sep 2020
2020,Senate,_deluxe,8/4/20,.6289,.371075,50.89195,49.10802,51,49,55,53,47,45,7.82e+07,8.60e+07,7.08e+07,2.744652,8.551409,-3.117207,40000,17:45:04 15 Sep 2020
2020,Senate,_deluxe,8/3/20,.627675,.372325,50.88173,49.11827,51,49,55,53,47,45,7.82e+07,8.58e+07,7.07e+07,2.71228,8.551277,-3.210114,40000,17:44:35 15 Sep 2020
2020,Senate,_deluxe,8/2/20,.61945,.38055,50.81562,49.18438,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.592117,8.505878,-3.357876,40000,17:43:27 15 Sep 2020
2020,Senate,_deluxe,8/1/20,.620075,.379925,50.8099,49.1901,51,49,54,53,47,46,7.82e+07,8.58e+07,7.07e+07,2.551094,8.399731,-3.493368,40000,17:44:31 15 Sep 2020
2020,Senate,_classic,9/20/20,.6562,.3438,51.0473,48.9527,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.139305,7.643738,-3.415718,40000,10:57:05 20 Sep 2020
2020,Senate,_classic,9/19/20,.647675,.352325,50.93203,49.06797,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,1.890804,7.381254,-3.590416,40000,20:08:47 19 Sep 2020
2020,Senate,_classic,9/18/20,.64225,.35775,50.91393,49.08607,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,1.897003,7.424576,-3.606512,40000,21:19:43 18 Sep 2020
2020,Senate,_classic,9/17/20,.63875,.36125,50.89285,49.10715,51,49,55,53,47,45,7.91e+07,8.67e+07,7.17e+07,1.979412,7.485767,-3.541285,40000,20:53:56 17 Sep 2020
2020,Senate,_classic,9/16/20,.640675,.359325,50.90287,49.09713,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,2.031685,7.521128,-3.529167,40000,15:05:00 16 Sep 2020
2020,Senate,_classic,9/15/20,.6359,.3641,50.88778,49.1122,51,49,55,53,47,45,7.91e+07,8.68e+07,7.17e+07,2.261742,7.813337,-3.279194,40000,13:33:07 15 Sep 2020
2020,Senate,_classic,9/14/20,.63475,.36525,50.8891,49.11087,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,2.295887,7.851231,-3.321987,40000,15:25:49 15 Sep 2020
2020,Senate,_classic,9/13/20,.6313,.3687,50.8619,49.1381,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.314285,7.84601,-3.333521,40000,15:26:16 15 Sep 2020
2020,Senate,_classic,9/12/20,.6354,.3646,50.9086,49.0914,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,2.352962,7.954117,-3.269558,40000,15:26:08 15 Sep 2020
2020,Senate,_classic,9/11/20,.6236,.3764,50.83195,49.16805,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.290981,7.871773,-3.355373,40000,15:26:18 15 Sep 2020
2020,Senate,_classic,9/10/20,.62515,.37485,50.8421,49.1579,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.352432,7.949118,-3.29353,40000,15:25:59 15 Sep 2020
2020,Senate,_classic,9/9/20,.6659,.3341,51.1517,48.8483,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.626118,8.245184,-2.97229,40000,15:44:02 15 Sep 2020
2020,Senate,_classic,9/8/20,.6588,.3412,51.13842,48.86155,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.613514,8.246296,-2.990183,40000,15:44:12 15 Sep 2020
2020,Senate,_classic,9/7/20,.6616,.3384,51.1421,48.8579,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.64743,8.312979,-3.007277,40000,15:44:31 15 Sep 2020
2020,Senate,_classic,9/6/20,.6617,.3383,51.16037,48.83963,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.643299,8.270061,-3.006826,40000,15:43:56 15 Sep 2020
2020,Senate,_classic,9/5/20,.6673,.3327,51.19765,48.80235,51,49,55,52,48,45,7.91e+07,8.68e+07,7.15e+07,2.685974,8.354834,-3.000622,40000,15:44:00 15 Sep 2020
2020,Senate,_classic,9/4/20,.665375,.334625,51.1827,48.8173,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.706181,8.31687,-2.949152,40000,16:01:19 15 Sep 2020
2020,Senate,_classic,9/3/20,.66055,.33945,51.16722,48.83278,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.698822,8.315125,-3.055119,40000,16:01:11 15 Sep 2020
2020,Senate,_classic,9/2/20,.65995,.34005,51.1694,48.8306,51,49,55,52,48,45,7.91e+07,8.65e+07,7.16e+07,2.69035,8.380289,-3.005119,40000,16:01:50 15 Sep 2020
2020,Senate,_classic,9/1/20,.666875,.333125,51.22038,48.77962,51,49,55,52,48,45,7.91e+07,8.66e+07,7.15e+07,2.820358,8.455105,-2.919214,40000,16:00:54 15 Sep 2020
2020,Senate,_classic,8/31/20,.660825,.339175,51.18982,48.81012,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.7313,8.46526,-2.978359,40000,16:01:19 15 Sep 2020
2020,Senate,_classic,8/30/20,.683875,.316125,51.36705,48.63295,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,3.047306,8.666363,-2.654753,40000,16:18:42 15 Sep 2020
2020,Senate,_classic,8/29/20,.687375,.312625,51.39433,48.60567,51,49,55,52,48,45,7.91e+07,8.67e+07,7.17e+07,3.110367,8.852831,-2.675814,40000,16:18:56 15 Sep 2020
2020,Senate,_classic,8/28/20,.678575,.321425,51.33842,48.66158,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.049503,8.728172,-2.667782,40000,16:18:38 15 Sep 2020
2020,Senate,_classic,8/27/20,.67325,.32675,51.3058,48.6942,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.002167,8.773441,-2.753565,40000,16:18:02 15 Sep 2020
2020,Senate,_classic,8/26/20,.67385,.326125,51.30558,48.69437,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,3.008331,8.723366,-2.751244,40000,16:18:45 15 Sep 2020
2020,Senate,_classic,8/25/20,.672775,.327225,51.27267,48.72733,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.954773,8.678802,-2.778151,40000,16:35:54 15 Sep 2020
2020,Senate,_classic,8/24/20,.677475,.322525,51.31,48.69,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.933697,8.672272,-2.786457,40000,16:36:13 15 Sep 2020
2020,Senate,_classic,8/23/20,.66735,.33265,51.2351,48.7649,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.88224,8.571358,-2.931644,40000,16:35:49 15 Sep 2020
2020,Senate,_classic,8/22/20,.6711,.3289,51.26247,48.73753,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.934364,8.684504,-2.859152,40000,16:35:04 15 Sep 2020
